index,class,tweet,clean_tweet
0,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt as a woman you shouldn t complain about cleaning up your house amp as a man you should always take the trash out
1,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place
2,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt dawg rt you ever fuck a bitch and she start to cry you be confused as shit
3,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt g anderson based she look like a tranny
4,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",madison x the shit just blows me claim you so faithful and down for somebody but still fucking with hoes 128514 128514 128514
6,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",brighterdays i can not just sit up and hate on another bitch i got too much shit going on
7,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,8220 cause i m tired of you big bitches coming for us skinny girls 8221
8,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp you might not get ya bitch back amp thats that
9,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobbies include fighting mariam bitch
10,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks is a bitch she curves everyone lol i walked into a conversation like this smh
11,1,""" Murda Gang bitch its Gang Land """,murda gang bitch its gang land
12,1,""" So hoes that smoke are losers ? "" yea ... go on IG",so hoes that smoke are losers yea go on ig
13,1,""" bad bitches is the only thing that i like """,bad bitches is the only thing that i like
14,1,""" bitch get up off me """,bitch get up off me
15,1,""" bitch nigga miss me with it """,bitch nigga miss me with it
16,1,""" bitch plz whatever """,bitch plz whatever
17,1,""" bitch who do you love """,bitch who do you love
18,1,""" bitches get cut off everyday B """,bitches get cut off everyday b
19,1,""" black bottle &amp; a bad bitch """,black bottle amp a bad bitch
20,1,""" broke bitch cant tell me nothing """,broke bitch cant tell me nothing
21,1,""" cancel that bitch like Nino """,cancel that bitch like nino
22,1,""" cant you see these hoes wont change """,cant you see these hoes wont change
23,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck no that bitch dont even suck dick 128514 128514 128514 the kermit videos bout to fuck ig up
24,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toeing on my hardwood floors 128514
25,1,""" her pussy lips like Heaven doors "" &#128524;",her pussy lips like heaven doors 128524
26,1,""" hoe what its hitting for """,hoe what its hitting for
27,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",i met that pussy on ocean dr i gave that pussy a pill 128524
28,1,""" i need a trippy bitch who fuck on Hennessy """,i need a trippy bitch who fuck on hennessy
29,1,""" i spend my money how i want bitch its my business """,i spend my money how i want bitch its my business
30,1,""" i txt my old bitch my new bitch pussy wetter """,i txt my old bitch my new bitch pussy wetter
31,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",i d say im back to the old me but my old bitches would get excited 128524
32,1,""" if you aint bout that Murder Game pussy nigga shut up """,if you aint bout that murder game pussy nigga shut up
33,1,""" if you're toes ain't done you pussy stinks """,if you re toes ain t done you pussy stinks
34,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
35,1,""" is that ya bitch """,is that ya bitch
36,1,""" it aint nothing to cut a bitch off """,it aint nothing to cut a bitch off
37,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son now he ya mane ass bitches shots
38,1,""" lames crying over hoes thats tears of a clown """,lames crying over hoes thats tears of a clown
39,1,""" like Snoop said in 94 we dont love these hoes """,like snoop said in 94 we dont love these hoes
40,2,""" momma said no pussy cats inside my doghouse """,momma said no pussy cats inside my doghouse
41,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",most hated but the hoes favorite 2mw sevenone
42,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
43,1,""" pimps up pimps up hoes down "" Future voice",pimps up pimps up hoes down future voice
44,1,""" post a picture of that pussy get 200 likes """,post a picture of that pussy get 200 likes
45,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy is a powerful drug 128517 happyhumpday
46,1,""" quick piece of pussy call it a drive by """,quick piece of pussy call it a drive by
47,1,""" running round here like some brand new pussy thats bout to get fucked """,running round here like some brand new pussy thats bout to get fucked
48,1,""" these bitches even worst they'll send them guys for you """,these bitches even worst they ll send them guys for you
49,1,""" these hoes like niggas that spend money not talk bout it """,these hoes like niggas that spend money not talk bout it
50,1,""" we dont trust these niggas all these bitches """,we dont trust these niggas all these bitches
51,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall niggas b cuffing hoes cause yall aint never have bitches
52,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",you dodge a bullet 128517 8220 all da bitches i cut off pregnant or bound to be thank god 128591 8221
53,1,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain these bitches love my music
54,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 teanna trump probably cleaner than most of these twitter hoes but
55,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 gay niggas couldn t wait to act like bitches tonight
56,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",128514 128514 128514 paradox and ima steal his cat n replace it with a pitbull 128514 128514 128514 128514 rt paradox he a bitch you should do it
57,1,"""&amp; he's gone always be a hoe""",amp he s gone always be a hoe
58,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son of a bitch took my tic tacs i like this movie
59,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",all i wanna do is get money and fuck model bitches russell simmons
60,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",i probably wouldn 8217 t mind school as much if we didn 8217 t have to deal with bitch ass teachers retweet
61,1,"""@A7XDemery: I'm a fucking fag they said""",i m a fucking fag they said
